meter_id,city,district,community,timestamp,water_usage,flow_rate,pressure,temperature,status,alarm
HZ000001,杭州,西湖区,文新社区,2026-08-03 17:00,0.013,1.0,0.35,30.9,正常,0
HZ000002,杭州,滨江区,滨康小区,2026-08-07 05:00,0.018,1.5,0.34,27.3,正常,0
HZ000003,杭州,余杭区,仓前家园,2026-08-01 17:00,0.139,9.4,0.36,33.4,正常,0
HZ000004,杭州,拱墅区,运河新城社区,2026-08-07 13:00,0.134,9.2,0.35,32.8,正常,0
HZ000005,杭州,上城区,采荷小区,2026-08-07 05:00,0.272,20.9,0.38,28.2,异常,1
HZ000006,杭州,萧山区,北干社区,2026-08-05 12:00,0.086,5.7,0.32,33.0,正常,0
HZ000007,杭州,钱塘区,下沙社区,2026-08-03 01:00,0.001,0.1,0.34,29.1,正常,0
HZ000008,杭州,临平区,南苑小区,2026-08-07 12:00,0.081,5.3,0.32,33.6,正常,0
HZ000009,杭州,西湖区,转塘家园,2026-08-06 08:00,0.087,6.1,0.35,29.9,正常,0
HZ000010,杭州,滨江区,江南花园,2026-08-05 10:00,0.046,3.6,0.35,27.2,正常,0
HZ000011,杭州,余杭区,闲林山水,2026-08-06 15:00,0.085,5.6,0.34,32.1,正常,0
HZ000012,杭州,拱墅区,运河新城社区,2026-08-02 07:00,0.129,8.1,0.39,29.0,正常,0
HZ000013,杭州,上城区,望江新园,2026-08-01 12:00,0.051,3.2,0.30,30.5,正常,0
HZ000014,杭州,萧山区,钱江世纪城社区,2026-08-04 17:00,0.048,3.5,0.29,30.5,正常,0
HZ000015,杭州,钱塘区,江东家园,2026-08-01 04:00,0.032,2.3,0.38,29.3,正常,0
HZ000016,杭州,临平区,乔司家园,2026-08-06 04:00,0.024,1.8,0.38,28.0,正常,0
HZ000017,杭州,西湖区,转塘家园,2026-08-02 21:00,0.116,8.4,0.32,30.4,正常,0
HZ000018,杭州,滨江区,江南花园,2026-08-04 04:00,0.018,1.2,0.32,30.5,正常,0
HZ000019,杭州,余杭区,未来科技城社区,2026-08-04 00:00,0.024,2.2,0.30,28.1,正常,0
HZ000020,杭州,拱墅区,大关小区,2026-08-03 23:00,0.136,10.1,0.37,27.3,正常,0
HZ000021,杭州,上城区,望江新园,2026-08-03 21:00,0.130,9.2,0.31,29.7,正常,0
HZ000022,杭州,萧山区,宁围佳境,2026-08-07 15:00,0.113,9.7,0.28,31.5,正常,0
HZ000023,杭州,钱塘区,河庄新苑,2026-08-04 15:00,0.113,7.8,0.29,33.4,正常,0
HZ000024,杭州,临平区,南苑小区,2026-08-01 08:00,0.053,3.4,0.34,27.7,正常,0
