meter_id,city,district,community,timestamp,water_usage,flow_rate,pressure,temperature,status,alarm
HZ000001,杭州,西湖区,转塘家园,2026-08-01 00:00,0.024,1.8,0.37,30.1,正常,0
HZ000002,杭州,滨江区,白马湖社区,2026-08-06 04:00,0.022,1.9,0.36,28.9,正常,0
HZ000003,杭州,余杭区,仓前家园,2026-08-07 02:00,0.017,1.3,0.35,30.1,正常,0
HZ000004,杭州,拱墅区,湖墅家园,2026-08-03 05:00,0.006,0.6,0.29,29.6,正常,0
HZ000005,杭州,上城区,近江家园,2026-08-04 01:00,0.012,0.8,0.34,29.3,正常,0
HZ000006,杭州,萧山区,宁围佳境,2026-08-02 14:00,0.047,3.0,0.28,32.5,正常,0
HZ000007,杭州,钱塘区,大学城北社区,2026-08-05 23:00,0.018,1.1,0.33,29.3,正常,0
HZ000008,杭州,临平区,乔司家园,2026-08-03 08:00,0.093,7.4,0.36,30.6,正常,0
HZ000009,杭州,西湖区,翠苑小区,2026-08-07 21:00,0.020,2.0,0.38,28.9,正常,0
HZ000010,杭州,滨江区,白马湖社区,2026-08-02 04:00,0.024,2.1,0.38,29.0,正常,0
HZ000011,杭州,余杭区,仓前家园,2026-08-01 20:00,0.098,7.6,0.28,29.1,正常,0
HZ000012,杭州,拱墅区,大关小区,2026-08-06 13:00,0.018,1.4,0.30,32.6,正常,0
HZ000013,杭州,上城区,采荷小区,2026-08-05 15:00,0.098,7.1,0.31,30.2,正常,0
HZ000014,杭州,萧山区,湘湖家园,2026-08-07 10:00,0.034,2.3,0.36,30.9,正常,0
HZ000015,杭州,钱塘区,河庄新苑,2026-08-05 09:00,0.034,3.1,0.37,29.9,正常,0
HZ000016,杭州,临平区,南苑小区,2026-08-06 04:00,0.033,2.3,0.30,28.9,正常,0
HZ000017,杭州,西湖区,转塘家园,2026-08-02 05:00,0.020,1.6,0.33,29.2,正常,0
HZ000018,杭州,滨江区,滨康小区,2026-08-03 12:00,0.109,10.1,0.36,33.1,正常,0
HZ000019,杭州,余杭区,良渚文化村,2026-08-05 02:00,0.003,0.2,0.28,30.9,正常,0
HZ000020,杭州,拱墅区,大关小区,2026-08-06 14:00,0.097,6.8,0.37,31.9,正常,0
HZ000021,杭州,上城区,丁兰社区,2026-08-02 11:00,0.350,18.2,0.34,30.6,异常,1
HZ000022,杭州,萧山区,钱江世纪城社区,2026-08-05 21:00,0.051,3.4,0.39,28.1,正常,0
HZ000023,杭州,钱塘区,江东家园,2026-08-05 22:00,0.130,10.4,0.32,29.9,正常,0
HZ000024,杭州,临平区,星桥社区,2026-08-07 22:00,0.137,10.0,0.31,30.3,正常,0
HZ000025,杭州,西湖区,转塘家园,2026-08-02 01:00,0.022,1.7,0.35,27.3,正常,0
HZ000026,杭州,滨江区,钱塘春晓,2026-08-07 00:00,0.003,0.3,0.37,27.3,正常,0
